,rule_of_law,gov_stability,dem_account,bur_effect,corruption,int_tourists,whc,cult_exp,medals,patents,trademarks,ofi,gci,internet,cellphones,aid,migrants,refugees,emb,gdelt,ter_education,publications,educ_expend,prim_complet,schooling_years,pisa_maths,pisa_reading,pisa_science
Start Date,1984-01-01 00:00:00,1984-01-01 00:00:00,1984-01-01 00:00:00,1984-01-01 00:00:00,1984-01-01 00:00:00,1995-01-01 00:00:00,1978-01-01 00:00:00,2011-01-01 00:00:00,1960-01-01 00:00:00,1980-01-01 00:00:00,1980-01-01 00:00:00,1970-01-01 00:00:00,2007-01-01 00:00:00,1990-01-01 00:00:00,1980-01-01 00:00:00,1960-01-01 00:00:00,1960-01-01 00:00:00,1960-01-01 00:00:00,2011-01-01 00:00:00,1979-01-01 00:00:00,1970-01-01 00:00:00,2000-01-01 00:00:00,1970-01-01 00:00:00,1970-01-01 00:00:00,1970-01-01 00:00:00,2000-01-01 00:00:00,2000-01-01 00:00:00,2000-01-01 00:00:00
Mean,3.658359497645212,7.452904238618524,3.8124018838304554,2.1719976452119307,2.9251373626373627,123.59755373821038,3.7813674975630134,0.17287800939691333,9.448924881538996,0.00954738725320923,0.2890343804142122,2.2812454556352892,15.978308873549853,28.030940529115295,57.29310119157885,6.356490134221164,11.131023964996668,1.2404887532087145,78.57377049180327,9.51851576418768,22.160859531289592,0.029492378143405773,4.346726997944615,78.41688453129802,6.1889270152505444,461.39701404391315,458.29301662816226,464.82554114651947
Std,1.4299957716195928,2.1092672298135082,1.6524378280149432,1.1531408713934586,1.3269820033675161,337.74825359593274,6.644313410154886,0.3850216858949924,22.602568618674297,0.030012789987666075,1.3995154999120254,25.87841146360904,23.583241496336573,29.878418499395075,54.09943772497022,10.967517199824796,15.877111562706371,5.160773478633644,40.54856157975245,7.104647726496516,23.212485262768762,0.05149959312366519,2.6844945982962694,24.78356242936417,3.296145928981242,59.83409453813839,55.26888613835993,54.746472302212524
5pct,1.0,4.0,1.0,0.0,1.0,0.5352074053484235,0.0,0.0005266046523290396,0.18840441301163832,1.410797197761742e-05,0.0013818335621234728,-0.2544303021817673,3.23746358175,0.0332629149,0.03972370126496739,0.007941287510285047,0.2669111086950614,0.0007118486648053459,24.0,3.9712208871087373,0.6865090042352681,0.0001114317995138299,1.5405380000000002,28.31343,1.09,361.534,358.3152651758401,375.3706023481334
95pct,6.0,11.0,6.0,4.0,5.5,644.2520636198913,16.0,0.6286580798248099,33.236835720292085,0.0366152954641393,0.5287975396960166,5.279539455944973,70.2,86.5347160125,146.9221479629152,24.698461457820322,50.3326779851433,4.507887969199038,152.0,18.181818181818183,72.45461006164545,0.15157670346153823,7.389710000000001,105.67544,11.53,543.8078,526.8936969647144,539.4742340066317
